bg,eq_BG,CGM_glucose,running_temp,rate,IOB,unsafe_action_reason
78.31,105,78.30746148235824,0.35,0.25,-0.809,Null
78.27,105,78.27313767563567,0.25,0.25,-0.822,Null
78.25,106,78.24508461232762,0.25,0.35,-0.834,Null
78.22,106,78.22201967029233,0.35,0.35,-0.846,Null
78.2,105,78.2039491958921,0.35,0.25,-0.809,Null
78.19,105,78.19135887806168,0.25,0.25,-0.821,Null
78.18,106,78.18337716818317,0.25,0.35,-0.833,Null
78.18,106,78.17865815479283,0.35,0.35,-0.845,Null
78.18,105,78.1772512768171,0.35,0.25,-0.808,Null
78.18,105,78.17973290152642,0.25,0.25,-0.82,Null
78.19,106,78.18534074351692,0.25,0.35,-0.832,Null
78.19,106,78.19284118441047,0.35,0.35,-0.844,Null
78.2,104,78.20239239778088,0.35,0.15,-0.806,Null
78.21,105,78.21467389309768,0.15,0.25,-0.819,Null
78.23,106,78.22901934230562,0.25,0.35,-0.831,Null
78.24,106,78.24428335159959,0.35,0.35,-0.843,Null
78.26,104,78.2621657820044,0.35,0.15,-0.805,Null
78.28,105,78.28383436310797,0.15,0.25,-0.817,Null
78.31,106,78.30862953501766,0.25,0.35,-0.83,Null
78.34,106,78.33521140803803,0.35,0.35,-0.842,Null
78.37,105,78.36502191723174,0.35,0.25,-0.804,Null
78.4,105,78.39896756133597,0.25,0.25,-0.816,Null
78.44,106,78.43614894045803,0.25,0.35,-0.829,Null
